ent_sum,ent_mean,dice
747929.3482876384,4.321892036610336,0.003548597776181658
741517.2093319172,4.2848396434213045,0.0
747892.3545740118,4.321678269311736,0.0020377298415983442
747919.7309134674,4.321836462841319,0.0028220385234881463
747893.3769719022,4.321684177213747,0.0011580471114620344
747926.6928125081,4.3218766920101475,0.0034426808285416633
747913.7410126146,4.321801850341014,0.003266222765060478
747926.8169169455,4.321877409144702,0.003143282010250113
747925.1307031398,4.321867665398136,0.0023722212582181347
747915.6452581204,4.3218128539785985,0.0020991206055783395
747926.3758972059,4.321874860722575,0.0026644664023666256
747922.75860304,4.321853958273854,0.00268661237519369
747910.7571319516,4.321784608057228,0.0034523429350024485
747835.5705354778,4.3213501440890685,0.0014752214685496126
747885.5473502367,4.321638933930269,0.0017552630117202688
747912.4929037731,4.321794638173615,0.0021615420610122415
747886.5955864926,4.321644991138664,0.002405697705091005
747894.4477137389,4.321690364470108,0.002698818657897942
747926.601398419,4.321876163775998,0.0034368467249455857
747908.1079582054,4.3217692998694375,0.0029779170050663263
747926.9382724167,4.32187811039442,0.0032919362435239585
747927.3886776846,4.3218807130506,0.0011988589174159534
747899.7509148885,4.321721008892431,0.0021148162024894885
747911.0028790188,4.321786028100839,0.0010911074740861974
747929.6301025819,4.321893665071317,0.00312061753973894
747832.7214115221,4.3213336804937255,0.0019516217702034084
747923.2618533111,4.321856866293634,0.003209498219823981
747929.6043894303,4.321893516488479,0.003167726598914843
747931.8922699941,4.321906736952166,0.0035780482856165477
747863.66386377,4.321512480721673,0.0
747929.9547299194,4.321895540922704,0.002367697364008317
747920.0367676197,4.3218382302122995,0.002720497793213226
747918.5970944959,4.321829911095229,0.002932344108814697
747928.7512099245,4.321888586410899,0.0033512323425853563
747926.280700014,4.321874310627854,0.003283288666300619
747893.5000970329,4.321684888689401,0.0025466490568593586
747926.6640490134,4.321876525800974,0.0030434352880353384
747904.3416161976,4.32174753615129,0.003064351020250493
747934.6973665706,4.321922946136341,0.003645438926789913
747931.1874688099,4.321902664275205,0.003311082769610951
747927.9936727843,4.321884209000464,0.003347367172675522
747912.9103081765,4.321797050135081,0.0026279025339099324
747906.5684843232,4.321760404056047,0.0023115552527317234
747877.8129993568,4.321594241166771,0.0017933768207970136
747933.3753602498,4.321915306954106,0.002938087795303582
747914.1879529705,4.3218044329752825,0.0028962958530309377
747918.9461689799,4.321831928213872,0.0030818496498020856
747913.29421466,4.321799268529609,0.0028685068333383175
747921.7991088002,4.321848413859099,0.003033257501895786
747892.288533922,4.32167788770064,0.0014828135598567666
